id,url,columns
1OUSX,http://vo.bsdc.icranet.org/ousx/q/cone/scs.xml?,"ID,RA,DEC,NUFNU05KEV,NUFNU05KEV_ERROR,NUFNU1KEV,NUFNU1KEV_ERROR,NUFNU15KEV,NUFNU15KEV_ERROR,NUFNU3KEV,NUFNU3KEV_ERROR,NUFNU45KEV,NUFNU45KEV_ERROR,MJD_START,MJD_END"
XMMSL2,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=xmmslewcln&,"xmmslew_name,ra,dec,radec_error,flux_b6,flux_b6_error,flux_b7,flux_b7_error,flux_b8,flux_b8_error"
4XMM-DR11,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=xmmssc&,"name,ra,dec,error_radius,ep_8_flux,ep_8_flux_error,ep_1_flux,ep_1_flux_error,ep_2_flux,ep_2_flux_error,ep_3_flux,ep_3_flux_error,ep_4_flux,ep_4_flux_error,ep_5_flux,ep_5_flux_error"
WGACAT,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=wgacat&,"name,ra,dec,error_radius,count_rate,count_rate_error"
BMW,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=bmwhricat&,"name,ra,dec,error_radius,count_rate,count_rate_error"
IPC2E,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=einstein2e&,"name,ra,dec,error_radius,count_rate,count_rate_error"
IPCSL,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=ipcslew&,"catalog_designation,ra,dec,count_rate,count_rate_error"
Chandra-CSC2,http://cda.harvard.edu/cscvo/coneSearch?,"col1,col27,col13,col15,col16,col14,col38,col39,col40,col41,col42,col169,col170,col171,col172,col173,col175,col176,col177,col178,col179"
MAXISSC,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=maxissccat&,"name,ra,dec,sb_flux,hb_flux"
MAXIGSC,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FApJS%2F238%2F32%2F3maxi&,"_3MAXI,RAJ2000,DEJ2000,ePos,F4-10keV,e_F4-10keV,F3-4keV,e_F3-4keV,F10-20keV,e_F10-20keV,F3-10keV,e_F3-10keV"
eROSITA-EDR,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FA+A%2F661%2FA1&,"Name,RAcdeg,DEcdeg,ePosc,Ext,e_Ext,MLRate,e_MLRate,MLFlux,e_MLFlux,MLRateb1,MLRateb2,MLRateb3,MLRateb4,MLRates,MLRateh,MLRateu,e_MLRateb1,e_MLRateb2,e_MLRateb3,e_MLRateb4,e_MLRates,e_MLRateh,e_MLRateu,E_MLRateb1,E_MLRateb2,E_MLRateb3,E_MLRateb4,E_MLRates,E_MLRateh,E_MLRateu"
ZWCLUSTERS,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VII%2F190%2Fzg_ori&,"ZG,_RA.icrs,_DE.icrs"
PSZ2,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FA%2BA%2F594%2FA27%2Fpsz2&,"Name,RAJ2000,DEJ2000"
5BZCat,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VII%2F274%2Fbzcat5&,"Name,RAJ2000,DEJ2000"
BROS,http://vo.bsdc.icranet.org/bros/q/cone/scs.xml?,"BROS_ID,RA,Dec"
ABELL,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=abell&,"name,ra,dec"
MCXC,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FA%2BA%2F534%2FA109%2Fmcxc&,"MCXC,RAJ2000,DEJ2000"
SDSSWHL,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FApJS%2F183%2F197%2Ftable1&,"WHL,RAJ2000,DEJ2000"
SWXCS,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=swxcscat&,"name,ra,dec"
3HSP,http://vo.bsdc.icranet.org/threehsp/q/cone/scs.xml?,"Name,ra,dec"
PULSAR,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=atnfpulsar&,"name,ra,dec"
F2PSR,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermil2psr&,"name,ra,dec"
FermiGRB,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=fermilgrb&,"gcn_name,ra,dec"
MilliQuas,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VII%2F290%2Fcatalog&,"RAJ2000,DEJ2000,Name,Type,z"
4LAC,http://vo.bsdc.icranet.org/fermi4lac/q/cone/scs.xml?,"RA_Count,Dec_Count,Source_Name,CLASS,Redshift"
F357cat,http://vo.bsdc.icranet.org/f357all/q/cone/scs.xml?,"Name,RAJ2000,DEJ2000"
WISH352,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F69A%2Fwish11&,"WNB,RAJ2000,DEJ2000,SI,Nse"
TGSS150,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=gmrtas150m&,"name,ra,ra_error,dec,dec_error,flux_150_mhz,flux_150_mhz_error,rms_150_mhz"
LoTSS,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=J%2FA+A%2F622%2FA1&,"Source,RAJ2000,e_RAdegTot,DEJ2000,e_DEdegTot,Speak,e_SpeakTot"
VLSSR,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F97%2Fcatalog&,"RAJ2000,DEJ2000,Sp,e_Sp,JD"
GLEAM,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=gleamegcat&,"name,ra,ra_error,dec,dec_error,flux_wide,flux_wide_error,flux_76_mhz,flux_76_mhz_error,flux_84_mhz,flux_84_mhz_error,flux_92_mhz,flux_92_mhz_error,flux_99_mhz,flux_99_mhz_error,flux_107_mhz,flux_107_mhz_error,flux_115_mhz,flux_115_mhz_error,flux_122_mhz,flux_122_mhz_error,flux_130_mhz,flux_130_mhz_error,flux_143_mhz,flux_143_mhz_error,flux_151_mhz,flux_151_mhz_error,flux_158_mhz,flux_158_mhz_error,flux_166_mhz,flux_166_mhz_error,flux_174_mhz,flux_174_mhz_error,flux_181_mhz,flux_181_mhz_error,flux_189_mhz,flux_189_mhz_error,flux_197_mhz,flux_197_mhz_error,flux_204_mhz,flux_204_mhz_error,flux_212_mhz,flux_212_mhz_error,flux_220_mhz,flux_220_mhz_error,flux_227_mhz,flux_227_mhz_error"
KUEHR,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=kuehr&,"name,ra,dec,frequency,flux_radio,flux_radio_error"
F357det,http://vo.bsdc.icranet.org/f357det/q/cone/scs.xml?,"Name,RA,Dec,RAErr,DecErr,IntFlux_VLASS,IntFluxErr_VLASS,IntFlux_D5GHZ,IntFluxErr_D5GHZ,IsLowerLim_D5GHZ,IntFlux_D7GHZ,IntFluxErr_D7GHZ,IsLowerLim_D7GHZ,Alpha,AlphaErr,Fermi_Name"
PMN,https://heasarc.gsfc.nasa.gov/cgi-bin/vo/cone/coneGet.pl?table=pmn&,"name,ra,dec,flux_4850_mhz,flux_4850_mhz_error,extended_flag"
GB87,http://vizier.u-strasbg.fr/viz-bin/votable/-A?-out.all&-source=VIII%2F14%2Fj2000&,"RAJ2000,DEJ2000,e_RAs,e_DEs,Flux,e_Flux,Eflag,Wflag,Cflag"
